iter	Passed	Remaining
483	600	639
484	602	639
485	603	638
486	604	636
487	605	635
488	606	633
489	607	632
490	608	630
491	609	628
492	610	627
493	610	625
494	611	624
495	612	622
496	613	621
497	614	619
498	615	618
499	616	616
500	617	615
501	618	613
502	619	612
503	620	610
504	621	609
505	622	607
506	623	605
507	624	604
508	624	602
509	625	601
510	626	599
511	627	598
512	628	596
513	629	595
514	631	594
515	631	592
516	632	591
517	634	590
518	635	588
519	636	587
520	636	585
521	637	584
522	638	582
523	639	581
524	640	579
525	641	578
526	642	576
527	643	575
528	644	574
529	645	572
530	646	571
531	647	569
532	648	568
533	649	566
534	650	565
535	651	563
536	652	562
537	653	561
538	654	559
539	655	558
540	656	557
541	658	556
542	659	555
543	660	554
544	661	552
545	662	551
546	663	549
547	664	548
548	665	546
549	666	545
550	667	544
551	668	542
552	669	541
553	670	539
554	671	538
555	672	536
556	673	535
557	674	534
558	675	532
559	676	531
560	677	529
561	677	528
562	678	526
563	679	525
564	680	524
565	681	522
566	682	521
567	684	520
568	685	518
569	686	517
570	687	516
571	688	514
572	689	513
573	689	512
574	691	510
575	691	509
576	692	507
577	693	506
578	694	505
579	695	503
580	696	502
581	698	501
582	699	500
583	702	500
584	703	498
585	704	497
586	705	496
587	706	495
588	707	493
589	708	492
590	709	490
591	710	489
592	711	488
593	712	486
594	713	485
595	714	484
596	715	483
597	716	481
598	718	480
599	719	479
600	720	478
601	721	476
602	722	475
603	723	474
604	724	472
605	725	471
606	726	470
607	727	469
608	728	467
609	729	466
610	730	465
611	731	463
612	733	462
613	734	461
614	735	460
615	736	459
616	737	457
617	738	456
618	739	455
619	740	453
620	742	452
621	743	451
622	744	450
623	745	449
624	746	448
625	747	446
626	748	445
627	749	444
628	750	442
629	751	441
630	752	440
631	753	438
632	754	437
633	755	436
634	756	434
635	758	433
636	759	432
637	760	431
638	761	430
639	762	428
640	762	427
641	763	425
642	764	424
643	765	423
644	766	422
645	767	420
646	768	419
647	769	418
648	770	416
649	771	415
650	772	414
651	773	413
652	774	411
653	775	410
654	776	409
655	777	407
656	778	406
657	779	405
658	780	404
659	781	402
660	783	401
661	784	400
662	785	399
663	786	397
664	787	396
665	788	395
666	789	394
667	790	393
668	792	391
669	793	390
670	794	389
671	795	388
672	796	386
673	797	385
674	798	384
675	799	383
676	800	381
677	802	381
678	803	379
679	804	378
680	805	377
681	806	375
682	807	374
683	808	373
684	809	372
685	810	370
686	811	369
687	812	368
688	813	367
689	814	366
690	815	364
691	816	363
692	817	362
693	818	361
694	819	359
695	821	358
696	822	357
697	823	356
698	824	355
699	825	353
700	826	352
701	827	351
702	829	350
703	830	349
704	832	348
705	833	347
706	834	345
707	836	344
708	837	343
709	838	342
710	839	341
711	840	339
712	842	338
713	843	337
714	844	336
715	845	335
716	846	334
717	847	333
718	848	331
719	849	330
720	850	329
721	851	327
722	852	326
723	853	325
724	854	324
725	855	322
726	856	321
727	857	320
728	858	319
729	859	318
730	860	316
731	861	315
732	862	314
733	863	313
734	864	311
735	865	310
736	867	309
737	868	308
738	869	306
739	870	305
740	871	304
741	872	303
742	873	302
743	874	301
744	876	299
745	877	298
746	878	297
747	879	296
748	880	294
749	881	293
750	883	292
751	885	291
752	885	290
753	887	289
754	889	288
755	891	287
756	893	286
757	894	285
758	895	284
759	896	283
760	897	281
761	898	280
762	899	279
763	900	278
764	903	277
765	904	276
766	905	275
767	906	273
768	907	272
769	908	271
770	909	270
771	910	268
772	911	267
773	912	266
774	913	265
775	914	263
776	915	262
777	916	261
778	917	260
779	918	259
780	919	257
781	920	256
782	921	255
783	922	254
784	923	252
785	924	251
786	925	250
787	926	249
788	927	248
789	928	246
790	929	245
791	930	244
792	931	243
793	932	241
794	933	240
795	934	239
796	935	238
797	936	237
798	937	235
799	938	234
800	939	233
801	940	232
802	941	230
803	942	229
804	943	228
805	944	227
806	945	226
807	946	225
808	948	223
809	949	222
810	950	221
811	951	220
812	952	219
813	953	217
814	954	216
815	955	215
816	956	214
817	957	213
818	958	211
819	959	210
820	960	209
821	961	208
822	962	207
823	963	205
824	964	204
825	966	203
826	966	202
827	967	201
828	969	200
829	970	198
830	972	197
831	973	196
832	975	195
833	976	194
834	978	193
835	979	192
836	980	190
837	981	189
838	982	188
839	983	187
840	984	186
841	985	184
842	986	183
843	988	182
844	991	181
845	992	180
846	993	179
847	994	178
848	995	177
849	997	175
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	170
855	1003	168
856	1005	167
857	1006	166
858	1007	165
859	1008	164
860	1009	162
861	1010	161
862	1011	160
863	1012	159
864	1013	158
865	1014	157
866	1015	155
867	1017	154
868	1018	153
869	1019	152
870	1020	151
871	1021	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1027	144
877	1028	142
878	1029	141
879	1030	140
880	1031	139
881	1032	138
882	1033	136
883	1034	135
884	1035	134
885	1036	133
886	1037	132
887	1038	130
888	1039	129
889	1040	128
890	1041	127
891	1042	126
892	1043	125
893	1044	123
894	1045	122
895	1046	121
896	1047	120
897	1048	119
898	1049	117
899	1050	116
900	1051	115
901	1052	114
902	1053	113
903	1054	111
904	1055	110
905	1056	109
906	1057	108
907	1059	107
908	1060	106
909	1061	104
910	1062	103
911	1064	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1070	96
917	1071	95
918	1072	94
919	1073	93
920	1076	92
921	1077	91
922	1079	90
923	1080	88
924	1082	87
925	1083	86
926	1084	85
927	1085	84
928	1086	83
929	1090	82
930	1091	80
931	1092	79
932	1093	78
933	1094	77
934	1096	76
935	1097	75
936	1098	73
937	1099	72
938	1100	71
939	1100	70
940	1101	69
941	1102	67
942	1103	66
943	1104	65
944	1105	64
945	1106	63
946	1107	61
947	1107	60
948	1108	59
949	1109	58
950	1110	57
951	1111	56
952	1112	54
953	1113	53
954	1114	52
955	1114	51
956	1115	50
957	1116	48
958	1117	47
959	1118	46
960	1119	45
961	1120	44
962	1121	43
963	1122	41
964	1123	40
965	1124	39
966	1125	38
967	1126	37
968	1127	36
969	1128	34
970	1129	33
971	1130	32
972	1131	31
973	1132	30
974	1134	29
975	1135	27
976	1135	26
977	1136	25
978	1137	24
979	1138	23
980	1139	22
981	1140	20
982	1141	19
983	1142	18
984	1143	17
985	1144	16
986	1145	15
987	1146	13
988	1147	12
989	1148	11
990	1149	10
991	1150	9
992	1151	8
993	1152	6
994	1152	5
995	1153	4
996	1154	3
997	1155	2
998	1156	1
999	1157	0
